date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:26:33	16149/16149	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:34%20GMT	https://www.deepwater.com/performance/data	C:/My%20Web%20Sites/Transocean/www.deepwater.com/performance/data.html	(from https://www.deepwater.com/)
10:26:34	21926/21926	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:34%20GMT	https://www.deepwater.com/our-people	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-people.html	(from https://www.deepwater.com/)
10:26:34	21998/21998	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:35%20GMT	https://www.deepwater.com/our-people/working-at-transocean	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-people/working-at-transocean.html	(from https://www.deepwater.com/)
10:26:35	17478/17478	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:35%20GMT	https://www.deepwater.com/our-fleet	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-fleet.html	(from https://www.deepwater.com/)
10:26:36	17157/17157	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:36%20GMT	https://www.deepwater.com/our-fleet/rig-types	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-fleet/rig-types.html	(from https://www.deepwater.com/)
10:26:37	30031/30031	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:37%20GMT	https://www.deepwater.com/our-fleet/our-rigs	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-fleet/our-rigs.html	(from https://www.deepwater.com/)
10:26:37	16637/16637	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:39%20GMT	https://www.deepwater.com/our-fleet/newbuilds	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-fleet/newbuilds.html	(from https://www.deepwater.com/)
10:26:38	18942/18942	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:39%20GMT	https://www.deepwater.com/our-fleet/our-patents	C:/My%20Web%20Sites/Transocean/www.deepwater.com/our-fleet/our-patents.html	(from https://www.deepwater.com/)
10:26:39	38609/38609	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:40%20GMT	https://www.deepwater.com/news	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news.html	(from https://www.deepwater.com/)
10:26:40	34313/34313	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:41%20GMT	https://www.deepwater.com/investors/fleet-status-report	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/fleet-status-report.html	(from https://www.deepwater.com/)
10:26:40	13871/13871	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:42%20GMT	https://www.deepwater.com/investors/shareholder-info	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/shareholder-info.html	(from https://www.deepwater.com/)
10:26:41	14609/14609	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:42%20GMT	https://www.deepwater.com/investors/shareholder-info/analyst-coverage	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/shareholder-info/analyst-coverage.html	(from https://www.deepwater.com/)
10:26:42	15915/15915	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:43%20GMT	https://www.deepwater.com/investors/shareholder-info/share-repurchases	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/shareholder-info/share-repurchases.html	(from https://www.deepwater.com/)
10:26:42	15266/15266	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:43%20GMT	https://www.deepwater.com/investors/shareholder-info/irs-forms-8937	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/shareholder-info/irs-forms-8937.html	(from https://www.deepwater.com/)
10:26:43	15169/15169	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:44%20GMT	https://www.deepwater.com/investors/shareholder-info/global-marine-financial-info	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/shareholder-info/global-marine-financial-info.html	(from https://www.deepwater.com/)
10:26:44	30579/30579	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:45%20GMT	https://www.deepwater.com/investors/corporate-governance	C:/My%20Web%20Sites/Transocean/www.deepwater.com/investors/corporate-governance.html	(from https://www.deepwater.com/)
10:26:44	25376/25376	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:45%20GMT	https://www.deepwater.com/contact	C:/My%20Web%20Sites/Transocean/www.deepwater.com/contact.html	(from https://www.deepwater.com/)
10:26:45	7688/7688	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Sep%202022%2009:26:46%20GMT	https://www.deepwater.com/'/images/Home/home-poster.jpg'	C:/My%20Web%20Sites/Transocean/www.deepwater.com/'/images/Home/home-poster.jpg'	(from https://www.deepwater.com/)
10:26:46	101267/101267	---M--	200	added ('OK')	image/jpeg	etag:%22Fpz0fkwE864VzHP43J9O1Q==%22	https://www.deepwater.com/images/Home/home-poster.jpg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/Home/home-poster.jpg	(from https://www.deepwater.com/)
10:26:47	15093/15093	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:49%20GMT	https://www.deepwater.com/covid-19	C:/My%20Web%20Sites/Transocean/www.deepwater.com/covid-19.html	(from https://www.deepwater.com/)
10:26:48	26350/26350	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:49%20GMT	https://www.deepwater.com/news/detail?ID=27166	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news/detailc1df.html	(from https://www.deepwater.com/)
10:26:48	3654197/3654197	---M--	200	added ('OK')	video/mp4	etag:%22mXtlB61jR7sE5QmuITVvAA==%22	https://www.deepwater.com/media/home-marquee.mp4	C:/My%20Web%20Sites/Transocean/www.deepwater.com/media/home-marquee.mp4	(from https://www.deepwater.com/)
10:26:50	20750/20750	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:51%20GMT	https://www.deepwater.com/news/detail?ID=27151	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news/detailbe07.html	(from https://www.deepwater.com/)
10:26:52	20116/20116	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:52%20GMT	https://www.deepwater.com/news/detail?ID=27121	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news/detail0fde.html	(from https://www.deepwater.com/)
10:26:52	20052/20052	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:52%20GMT	https://www.deepwater.com/news/detail?ID=27116	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news/detailc14b.html	(from https://www.deepwater.com/)
10:26:54	399930/399930	---M-Z	200	added ('OK')	text/html	date:Sun,%2018%20Sep%202022%2009:26:56%20GMT	https://www.deepwater.com/news/detail?ID=27106	C:/My%20Web%20Sites/Transocean/www.deepwater.com/news/detailf4a3.html	(from https://www.deepwater.com/)
10:26:55	13673/13673	---M-Z	200	added ('OK')	image/svg+xml	etag:%22p2QSOhGsqtLfAnYzdktSwA==%22	https://www.deepwater.com/Images/Home/reticle-static.svg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/Images/Home/reticle-static.svg	(from https://www.deepwater.com/)
10:26:55	87893/87893	---M--	200	added ('OK')	image/jpeg	etag:%22brBx/WNatgWe4/Ce85KEmQ==%22	https://www.deepwater.com/images/Home/home-performance.jpg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/Home/home-performance.jpg	(from https://www.deepwater.com/)
10:26:55	531/531	---M-Z	200	added ('OK')	image/svg+xml	etag:%22XNheqfls4iGY5pfPTGPkBw==%22	https://www.deepwater.com/Images/Home/reticle-inner.svg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/Images/Home/reticle-inner.svg	(from https://www.deepwater.com/)
10:26:56	341/341	---M--	200	added ('OK')	image/svg+xml	etag:%22+S7biub95Z65AWP22l0VAw==%22	https://www.deepwater.com/Images/Home/reticle-outer.svg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/Images/Home/reticle-outer.svg	(from https://www.deepwater.com/)
10:26:56	7697/7697	---M--	404	error ('Not%20Found')	text/html	date:Sun,%2018%20Sep%202022%2009:26:57%20GMT	https://www.deepwater.com/'/images/Home/TRANS-Homepage-fleet.jpg'	C:/My%20Web%20Sites/Transocean/www.deepwater.com/'/images/Home/TRANS-Homepage-fleet.jpg'	(from https://www.deepwater.com/)
10:26:57	17618/17618	---M-Z	200	added ('OK')	image/svg+xml	etag:%22fypk1ojSc4rUX+p0F983yQ==%22	https://www.deepwater.com/images/Home/ultradeep-rig.svg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/Home/ultradeep-rig.svg	(from https://www.deepwater.com/)
10:26:58	9971/9971	---M-Z	200	added ('OK')	image/svg+xml	etag:%22pPDOST894iz1ndlsGogdcg==%22	https://www.deepwater.com/images/Home/harsh-rig.svg	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/Home/harsh-rig.svg	(from https://www.deepwater.com/)
10:26:59	61552/61552	---M--	200	added ('OK')	image/png	etag:%22LzpIRdCRa+N6XWxr+ybgrw==%22	https://www.deepwater.com/images/home/map/home-opmap.png	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/home/map/home-opmap.png	(from https://www.deepwater.com/)
10:26:59	2948/2948	---M--	200	added ('OK')	image/png	etag:%22I7AlK5l2BU6w4pswV3IbIA==%22	https://www.deepwater.com/images/Home/Map/home-opmap-na.png	C:/My%20Web%20Sites/Transocean/www.deepwater.com/images/Home/Map/home-opmap-na.png	(from https://www.deepwater.com/)
